,age,income,children,credit_history,overdue_payments,active_loans,years_in_job,employment_type,owns_property,assets_value,other_loans,education,city,marital_status,credit_risk
0,44,15689.0,0.0,dobra historia,0.0,2,9,samozatrudnienie,,,1,2,0,żonaty/zamężna,0
1,38,18906.0,4.0,brak historii,0.0,0,1,stała,1.0,62965.0,0,1,1,kawaler/panna,0
2,46,16338.0,2.0,,,2,4,brak,1.0,124967.0,0,0,2,żonaty/zamężna,0
3,55,23276.0,3.0,dobra historia,1.0,2,10,stała,1.0,52147.0,1,1,0,kawaler/panna,0
4,37,40000.0,1.0,brak historii,,1,9,określona,0.0,33957.0,1,2,0,kawaler/panna,0
5,37,,0.0,dobra historia,1.0,1,11,określona,1.0,85621.0,0,2,2,kawaler/panna,0
6,55,36330.0,0.0,brak historii,0.0,1,15,stała,1.0,122819.0,1,1,2,rozwiedziony/rozwiedziona,0
7,47,14900.0,3.0,brak historii,0.0,2,9,stała,0.0,181387.0,1,2,1,żonaty/zamężna,0
8,35,14417.0,0.0,dobra historia,0.0,1,6,stała,0.0,58159.0,0,1,1,kawaler/panna,0
9,45,33166.0,0.0,dobra historia,1.0,2,12,stała,,,0,2,0,kawaler/panna,0
10,35,34925.0,1.0,,,2,1,określona,0.0,246233.0,1,2,1,kawaler/panna,0
11,35,33715.0,0.0,dobra historia,0.0,2,10,brak,0.0,87043.0,0,1,0,kawaler/panna,0
12,42,11408.0,1.0,dobra historia,1.0,3,16,określona,1.0,209666.0,1,1,0,kawaler/panna,0
13,20,17448.0,0.0,dobra historia,,1,6,samozatrudnienie,1.0,193520.0,0,0,2,kawaler/panna,0
14,22,,1.0,,0.0,1,6,określona,1.0,202173.0,0,0,1,kawaler/panna,0
15,34,22488.0,3.0,brak historii,,0,19,określona,1.0,48217.0,0,1,1,żonaty/zamężna,0
16,29,12876.0,0.0,brak historii,,0,11,samozatrudnienie,1.0,34306.0,1,1,1,żonaty/zamężna,0
17,43,27699.0,0.0,brak historii,,3,10,stała,1.0,,0,1,1,żonaty/zamężna,0
18,30,15407.0,0.0,brak historii,0.0,1,11,stała,0.0,16152.0,0,1,0,kawaler/panna,0
19,25,40000.0,4.0,,1.0,1,5,stała,1.0,96214.0,0,2,1,żonaty/zamężna,0
20,54,40000.0,0.0,brak historii,0.0,1,15,określona,1.0,,0,0,1,żonaty/zamężna,0
21,37,29793.0,0.0,,0.0,3,17,stała,1.0,75607.0,0,0,1,kawaler/panna,0
22,40,40000.0,1.0,,1.0,2,8,samozatrudnienie,0.0,47484.0,0,1,1,kawaler/panna,0
23,25,,0.0,brak historii,0.0,1,12,stała,1.0,45541.0,0,2,0,rozwiedziony/rozwiedziona,0
24,34,32296.0,4.0,dobra historia,0.0,1,14,określona,,30457.0,1,2,0,żonaty/zamężna,0
25,41,40000.0,3.0,brak historii,0.0,1,15,stała,0.0,66863.0,0,0,1,rozwiedziony/rozwiedziona,0
26,28,24903.0,1.0,dobra historia,1.0,1,15,stała,1.0,252873.0,1,0,0,kawaler/panna,0
27,43,19387.0,1.0,brak historii,2.0,1,2,stała,,67986.0,0,2,2,żonaty/zamężna,1
28,33,,0.0,dobra historia,0.0,0,13,stała,0.0,207410.0,1,0,0,kawaler/panna,0
29,37,21129.0,1.0,dobra historia,0.0,3,17,samozatrudnienie,1.0,72144.0,0,1,1,żonaty/zamężna,0
30,33,33246.0,2.0,,0.0,1,12,stała,,29331.0,1,1,1,żonaty/zamężna,0
31,58,35341.0,0.0,dobra historia,0.0,0,17,samozatrudnienie,1.0,61975.0,0,0,0,kawaler/panna,0
32,39,,0.0,dobra historia,0.0,2,9,stała,0.0,,1,0,0,kawaler/panna,0
33,29,16803.0,3.0,brak historii,,2,11,określona,0.0,155667.0,1,1,2,żonaty/zamężna,0
34,48,,0.0,dobra historia,,1,9,stała,1.0,,0,1,0,rozwiedziony/rozwiedziona,0
35,27,17195.0,1.0,dobra historia,1.0,4,12,stała,1.0,,1,2,1,kawaler/panna,0
36,42,,0.0,dobra historia,0.0,2,13,stała,1.0,114135.0,0,1,1,żonaty/zamężna,0
37,20,18836.0,0.0,dobra historia,0.0,2,4,stała,0.0,38076.0,0,2,1,żonaty/zamężna,0
38,26,30009.0,2.0,,0.0,0,10,stała,0.0,115545.0,0,1,2,żonaty/zamężna,0
39,41,40000.0,0.0,dobra historia,0.0,2,10,samozatrudnienie,0.0,66282.0,0,1,1,żonaty/zamężna,0
40,47,23429.0,1.0,,,3,7,stała,1.0,73472.0,1,1,1,kawaler/panna,0
41,41,19764.0,0.0,brak historii,0.0,0,11,stała,1.0,88613.0,0,2,2,kawaler/panna,0
42,38,,0.0,dobra historia,0.0,0,5,stała,0.0,,0,2,1,żonaty/zamężna,0
43,36,23439.0,3.0,dobra historia,,3,5,brak,1.0,55130.0,0,2,0,żonaty/zamężna,0
44,25,,1.0,dobra historia,1.0,3,6,stała,0.0,57134.0,0,1,0,żonaty/zamężna,0
45,32,,3.0,dobra historia,,1,3,stała,1.0,86530.0,0,1,2,kawaler/panna,0
46,35,27595.0,3.0,brak historii,,2,6,brak,1.0,,0,0,0,kawaler/panna,0
47,50,24461.0,3.0,dobra historia,0.0,3,19,stała,0.0,28384.0,1,1,0,kawaler/panna,0
48,43,27688.0,3.0,dobra historia,2.0,3,4,brak,0.0,,0,0,1,żonaty/zamężna,0
49,22,27360.0,0.0,dobra historia,1.0,5,5,określona,1.0,25756.0,0,1,0,żonaty/zamężna,1
50,43,9082.0,3.0,brak historii,,4,10,stała,0.0,348410.0,0,1,2,żonaty/zamężna,0
51,36,30285.0,0.0,,0.0,2,4,stała,1.0,183521.0,0,1,0,żonaty/zamężna,0
52,33,15748.0,0.0,,1.0,1,5,samozatrudnienie,,,0,2,0,żonaty/zamężna,0
53,46,12734.0,0.0,dobra historia,0.0,1,3,stała,1.0,44730.0,1,0,1,żonaty/zamężna,0
54,50,12679.0,0.0,dobra historia,1.0,3,10,samozatrudnienie,1.0,76384.0,1,0,1,żonaty/zamężna,0
55,49,27358.0,1.0,dobra historia,1.0,0,8,stała,1.0,40633.0,1,0,1,żonaty/zamężna,0
